ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
emreturgutce_stock-management,0.7797,37.8386,0.0128,89.8447,62.9419,-0.0016
eqbal_CarND_Capstone_CarX,0.7290,36.9700,0.0142,88.8801,60.6095,0.0018
ertis-research_lwm2m-blockchain,0.6989,35.7952,0.0162,87.6883,60.6849,-0.0030
ev2900_OpenSearch_Dashboard_Nginx_Proxy,0.7075,38.5433,0.0118,89.5933,60.1938,-0.0011
exmgr_GatewayXM,0.5237,31.4611,0.0267,9.5816,45.7271,0.0010
fdrennan_ndexr-platform,0.0116,24.6202,0.0587,7.3601,26.5077,-0.0010
fecgov_fec-eregs,0.6008,37.4939,0.0133,89.5964,60.8079,-0.0033
florianhoehn_sf-apex-rest-api,0.6891,35.5019,0.0168,89.8178,61.1071,0.0014
fredrikhgrelland_data-mesh,0.4857,38.8857,0.0114,89.5999,57.3126,-0.0091
freenowtech_AndroidCI,0.5450,37.8890,0.0128,89.6950,64.1943,0.0018
gabrielfarah_OpenHub,0.4498,36.7620,0.0145,88.9159,57.5822,0.0026
gaiax_fLibra,0.5533,36.7992,0.0145,89.3731,56.8835,-0.0015
gapfish_deployer,0.4118,34.4358,0.0190,89.7838,53.3184,-0.0014
gcba-iris_iris,0.0674,24.9144,0.0568,13.6681,33.2546,-0.0013
gdsc-ys_mlops,0.7815,37.4600,0.0134,89.0237,63.2562,-0.0015
geovanegodoi_MicroServicesPOC,0.5874,35.5268,0.0167,89.2752,59.4857,0.0032
googleinterns_typescript-flag-upgrade,0.0609,24.7269,0.0580,7.5317,31.8553,-0.0003
gpsnmeajp_VirtualMotionTracker,0.6077,31.3447,0.0271,89.8222,54.8057,0.0005
gray-panda_grayrepo,0.7624,34.6286,0.0186,89.8643,60.6988,0.0001
greatfarmer_fifarm,0.7636,37.9098,0.0127,89.3467,62.4762,-0.0026
gregoryjohnsonjg6_angular-dotnet-core-docker,0.7576,37.2827,0.0137,89.2490,62.6173,-0.0023
gustavung_Graphrec,0.8058,40.5925,0.0093,89.5780,61.9470,0.0034
hamzatugrul_surl,0.6153,38.4363,0.0120,89.4260,59.5602,-0.0006
heli-os_member-invitation-java-springboot,0.7207,40.2061,0.0098,89.9125,63.3484,0.0042
hex-js_nodejs-hexagonal-boilerplate-ts,0.5744,35.3300,0.0171,86.3306,57.2288,0.0004
hotshot07_distributed_systems,0.6215,37.9926,0.0126,89.8606,59.9061,0.0019
hrchlhck_k8s-bigdata,NA,NA,NA,NA,NA,NA
hyeonsangjeon_AWS-LLM-SageMaker,0.2255,26.3947,0.0479,88.7299,43.9172,-0.0056
hyeonsangjeon_youtube-dl-nas,0.6821,38.2977,0.0122,89.4960,61.0378,0.0005
hyper-prog_hasses,0.6217,35.0983,0.0176,88.2761,58.2004,-0.0025
hypertrack_live-app-android,0.7419,38.2705,0.0122,89.0657,62.2478,0.0037
i5ting_stuq-koa,0.6808,35.5322,0.0167,89.0474,57.8628,0.0001
ibm-hyperknowledge_hklib,0.6162,33.4534,0.0212,81.2128,57.0035,0.0023
iceland2k14_Kangrand,0.5759,36.0285,0.0158,89.8656,56.9264,0.0002
icoxfog417_karura,0.7217,36.5719,0.0148,89.4494,60.9162,-0.0004
imamabdulazis_FlutterCleanArchitecture,0.4137,33.6233,0.0208,87.3022,53.8043,0.0019
inIT-HF_gr-corrsounder,NA,NA,NA,NA,NA,NA
ingeniala_heybluekata,0.6447,37.4682,0.0134,88.6939,60.6044,0.0059
inovex_scrumlr.io,0.5035,37.8552,0.0128,89.1441,56.2210,0.0002
input-output-hk_marlowe-starter-kit,0.5013,36.5256,0.0149,88.4673,58.1074,0.0006
intel_edge-insights-vision,0.1140,30.6628,0.0293,18.6890,48.4422,0.0007
itays123_partydeck,0.6660,31.0066,0.0282,89.7587,58.6938,0.0005
itselavia_edge-computing-platform-for-deep-learning-apps,NA,NA,NA,NA,NA,NA
jes_autopatzer,0.7574,37.4495,0.0134,87.6566,61.9834,-0.0014
jinnerbichler_flash-home,0.0124,24.5080,0.0595,5.0758,22.2267,0.0005
jkahn117_aws-news,0.7082,37.7133,0.0130,89.0619,62.1446,-0.0012
jlhood_retweet-leaderboard,0.5981,37.5856,0.0132,89.3002,56.9916,0.0014
jquku_Matrix-Chatbot,0.0863,24.8363,0.0573,10.3384,36.4664,-0.0013
jsarcher_zilgraph,0.6187,37.8897,0.0128,88.6037,58.4115,-0.0034
