Category_Type,Model,Metric,Category_Value,Rank,N,Median,Mean,Std,Overall_H,Overall_p
Concern,ArchView (Claude),Quality,general,5,89,0.3333,0.367,0.31,8.622388296148712,0.12510734159576647
Concern,ArchView (Claude),Quality,security,6,12,0.3333,0.3056,0.2643,8.622388296148712,0.12510734159576647
QAs,Few-Shot (Claude),SSIM,functional_suitability,1,85,0.6742,0.6262,0.1924,12.448677896113479,0.005994067646962493
QAs,Few-Shot (Claude),SSIM,security,2,14,0.6659,0.6446,0.1706,12.448677896113479,0.005994067646962493
QAs,Few-Shot (Claude),SSIM,maintainability,3,159,0.6104,0.5786,0.183,12.448677896113479,0.005994067646962493
QAs,Few-Shot (Claude),SSIM,flexibility,4,15,0.5891,0.5167,0.1954,12.448677896113479,0.005994067646962493
QAs,Few-Shot (Claude),Quality,flexibility,1,15,0.3333,0.2222,0.2412,4.739809019263443,0.1918715975489423
QAs,Few-Shot (Claude),Quality,functional_suitability,2,86,0.3333,0.376,0.3266,4.739809019263443,0.1918715975489423
QAs,Few-Shot (Claude),Quality,maintainability,3,165,0.3333,0.4061,0.3375,4.739809019263443,0.1918715975489423
QAs,Few-Shot (Claude),Quality,security,4,15,0.3333,0.3111,0.2663,4.739809019263443,0.1918715975489423
QAs,GPA (Claude Code),SSIM,security,1,16,0.6388,0.6137,0.161,16.942853291362738,0.0019829947025769854
QAs,GPA (Claude Code),SSIM,functional_suitability,2,93,0.6251,0.5899,0.1799,16.942853291362738,0.0019829947025769854
QAs,GPA (Claude Code),SSIM,maintainability,3,175,0.5896,0.543,0.1908,16.942853291362738,0.0019829947025769854
QAs,GPA (Claude Code),SSIM,performance_efficiency,4,10,0.5614,0.5138,0.1565,16.942853291362738,0.0019829947025769854
QAs,GPA (Claude Code),SSIM,flexibility,5,19,0.4964,0.4738,0.1767,16.942853291362738,0.0019829947025769854
QAs,GPA (Claude Code),Quality,flexibility,1,19,0.0,0.1754,0.3578,5.9578716348319265,0.20231661322976882
QAs,GPA (Claude Code),Quality,functional_suitability,2,95,0.0,0.1158,0.2216,5.9578716348319265,0.20231661322976882
QAs,GPA (Claude Code),Quality,maintainability,3,183,0.0,0.2259,0.3614,5.9578716348319265,0.20231661322976882
QAs,GPA (Claude Code),Quality,performance_efficiency,4,11,0.0,0.1818,0.2734,5.9578716348319265,0.20231661322976882
QAs,GPA (Claude Code),Quality,security,5,17,0.0,0.2745,0.3581,5.9578716348319265,0.20231661322976882
QAs,ArchView (Claude),SSIM,functional_suitability,1,90,0.6992,0.6453,0.2048,14.568077442903517,0.002225556345235955
QAs,ArchView (Claude),SSIM,security,2,17,0.6986,0.6279,0.2119,14.568077442903517,0.002225556345235955
QAs,ArchView (Claude),SSIM,maintainability,3,178,0.618,0.5786,0.201,14.568077442903517,0.002225556345235955
QAs,ArchView (Claude),SSIM,flexibility,4,20,0.5775,0.5503,0.2056,14.568077442903517,0.002225556345235955
QAs,ArchView (Claude),Quality,flexibility,1,19,0.3333,0.2982,0.1529,2.0257043263842416,0.5670888527955742
QAs,ArchView (Claude),Quality,functional_suitability,2,89,0.3333,0.4007,0.334,2.0257043263842416,0.5670888527955742
QAs,ArchView (Claude),Quality,maintainability,3,168,0.3333,0.4187,0.3303,2.0257043263842416,0.5670888527955742
QAs,ArchView (Claude),Quality,security,4,17,0.3333,0.3725,0.2858,2.0257043263842416,0.5670888527955742
