ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
cap-ntu_Video-to-Retail-Platform,NA,NA,NA,NA,NA,NA
caraml-dev_turing,NA,NA,NA,NA,NA,NA
castle-finance_vault-transaction-indexer,0.7192,37.9252,0.0127,89.5680,62.2637,0.0008
chaitin_veinmind-tools,0.4425,38.9414,0.0113,89.8962,58.9150,-0.0032
chirgjin_track-my-events,0.8410,40.2481,0.0097,89.9097,63.0386,0.0019
chrispiro_deploy_plotly_app_on_gcp,0.6797,37.5937,0.0132,89.1290,59.7656,0.0013
chsakell_planet-scale-azure,0.2149,26.1951,0.0490,87.9210,39.4272,-0.0007
clemgbld_blog_back_office,0.7236,39.7522,0.0103,89.8736,62.2815,-0.0007
codahale_sneaker,0.0924,25.2636,0.0546,19.9904,38.2739,-0.0016
codestates_BEB-05-LeeSea,0.7185,36.4344,0.0151,89.9029,59.8843,0.0017
cordon-thiago_airflow-spark,0.5868,38.5718,0.0118,89.8907,58.0455,-0.0091
coverage-robot_core,0.8286,39.8010,0.0102,89.7792,64.7339,0.0001
danielfm_prometheus-for-developers,0.6712,36.8065,0.0144,88.8526,61.6563,-0.0015
darrenyao87_tnn-models,0.5995,36.9849,0.0142,88.8791,60.6349,0.0045
david3107_squatm3gator,0.7265,35.3286,0.0171,88.5132,59.5666,-0.0031
davidlandry93_glo4001,NA,NA,NA,NA,NA,NA
de1ux_statlord,0.6742,39.7741,0.0103,89.6199,60.1308,0.0026
decentraland_catalyst,NA,NA,NA,NA,NA,NA
dich1_bookshelf-web,0.7392,37.8652,0.0128,89.3228,61.1496,0.0001
doitintl_banias,0.7315,40.6383,0.0093,89.7196,60.6401,0.0025
domingo1021_Bunny-code,0.7154,37.7139,0.0130,88.6028,62.4876,-0.0005
dowjones_hammer,0.6147,36.3504,0.0152,89.1332,59.8663,0.0015
dsc-sookmyung_2023-mention-all-SolutionChallenge,0.7907,39.3874,0.0107,89.2229,63.0359,0.0011
dspace-group_simphera-reference-architecture-azure,0.7884,38.5699,0.0118,89.0273,64.3203,-0.0002
duanfuxiang0_MysqlMigrationTool,0.7776,40.0112,0.0100,89.9471,62.1047,-0.0009
dwt0317_Search_Adserver,0.6510,36.5361,0.0149,89.0589,58.0440,-0.0023
dylanvanh_MunchOut,0.7604,35.3657,0.0170,88.9453,63.8485,0.0012
eProsima_FIWARE-SH,0.4353,27.4821,0.0423,54.7886,54.0248,-0.0036
eProsima_Integration-Service,0.2158,26.5242,0.0472,29.1530,48.3531,0.0002
ebu_PlugIt,0.6450,37.8628,0.0128,88.3399,58.1116,-0.0027
elloza_Android-Developer-Certification,0.6899,37.4973,0.0133,89.1347,61.6943,0.0003
elpapi42_deep-deblurring,0.7487,38.0123,0.0126,89.8234,62.1413,0.0005
emreturgutce_stock-management,0.7435,36.9560,0.0142,89.7335,62.5005,0.0022
eqbal_CarND_Capstone_CarX,0.6768,36.4984,0.0150,88.8537,60.3471,0.0023
ertis-research_lwm2m-blockchain,0.7555,36.2659,0.0154,87.7305,60.9201,-0.0000
