filename,image1,image2,vgg16_cosine_similarity
IBM_vpc-flowlogs-log-analysis,IBM_vpc-flowlogs-log-analysis.png,IBM_vpc-flowlogs-log-analysis.png,0.30615228
IceFireDB_IceFireDB,IceFireDB_IceFireDB.png,IceFireDB_IceFireDB.png,0.23508906
JessNah_BeeGreen,JessNah_BeeGreen.png,JessNah_BeeGreen.png,0.30626696
JuliaParallel_DagScheduler.jl,JuliaParallel_DagScheduler.jl.png,JuliaParallel_DagScheduler.jl.png,0.31208533
KMuthumala_ESP32-BLE-Beaconing,KMuthumala_ESP32-BLE-Beaconing.png,KMuthumala_ESP32-BLE-Beaconing.png,0.2311778
KuangRD_Autonomous-Driving,KuangRD_Autonomous-Driving.png,KuangRD_Autonomous-Driving.png,0.27091134
LouisvilleMetro_WazeCCPProcessor,LouisvilleMetro_WazeCCPProcessor.png,LouisvilleMetro_WazeCCPProcessor.png,0.28172815
Luizbrandt_users-crud-salesforce,Luizbrandt_users-crud-salesforce.png,Luizbrandt_users-crud-salesforce.png,0.2897613
McOrts_taller-iot-sensor_radiactividad,McOrts_taller-iot-sensor_radiactividad.png,McOrts_taller-iot-sensor_radiactividad.png,0.32246667
Melacon_WirelessTransportEmulator,Melacon_WirelessTransportEmulator.png,Melacon_WirelessTransportEmulator.png,0.22913766
MyEMS_myems,MyEMS_myems.png,MyEMS_myems.png,0.3185259
NLP4L_attic-nlp4l,NLP4L_attic-nlp4l.png,NLP4L_attic-nlp4l.png,0.3667786
NatalieLouise91_T3A2-Skemi-FrontEnd,NatalieLouise91_T3A2-Skemi-FrontEnd.png,NatalieLouise91_T3A2-Skemi-FrontEnd.png,0.20560169
Neighbor-Army_help-with-covid,Neighbor-Army_help-with-covid.png,Neighbor-Army_help-with-covid.png,0.3038016
NicoJuicy_Airline-Microservices,NicoJuicy_Airline-Microservices.jpg,NicoJuicy_Airline-Microservices.png,0.29164398
Nishu0_anime_nft_marketplace,Nishu0_anime_nft_marketplace.png,Nishu0_anime_nft_marketplace.png,0.2787546
NodleCode_n1,NodleCode_n1.png,NodleCode_n1.png,0.26951557
OAID_Tengine,OAID_Tengine.png,OAID_Tengine.png,0.31517678
OpenIPC_motors,OpenIPC_motors.png,OpenIPC_motors.png,0.43763697
OpenPSD_modelbank,OpenPSD_modelbank.png,OpenPSD_modelbank.png,0.4742825
OpenRoberta_robertalab-ev3dev,OpenRoberta_robertalab-ev3dev.png,OpenRoberta_robertalab-ev3dev.png,0.1463288
OpiumProtocol_opium-protocol-v2,OpiumProtocol_opium-protocol-v2.jpg,OpiumProtocol_opium-protocol-v2.png,0.33181947
ParaStation_psmpi,ParaStation_psmpi.png,ParaStation_psmpi.png,0.27301967
Resurgence-VM-Development_Resurgence,Resurgence-VM-Development_Resurgence.png,Resurgence-VM-Development_Resurgence.png,0.34727025
RunnersHi_RunnersHi_Server,RunnersHi_RunnersHi_Server.PNG,RunnersHi_RunnersHi_Server.png,0.25146937
SV-97_HumanResourceMachine,SV-97_HumanResourceMachine.png,SV-97_HumanResourceMachine.png,0.30447108
SafeBreach-Labs_hAFL2,SafeBreach-Labs_hAFL2.png,SafeBreach-Labs_hAFL2.png,0.30273807
Sanperolo_The-Intelligent-Bike,Sanperolo_The-Intelligent-Bike.png,Sanperolo_The-Intelligent-Bike.png,0.32746345
Scientific-Computing-Lab-NRCN_compar,Scientific-Computing-Lab-NRCN_compar.PNG,Scientific-Computing-Lab-NRCN_compar.png,0.2276066
SecHack365-Fans_PyJailBreak,SecHack365-Fans_PyJailBreak.png,SecHack365-Fans_PyJailBreak.png,0.29179513
ShiftLeftSecurity_traceleft,ShiftLeftSecurity_traceleft.png,ShiftLeftSecurity_traceleft.png,0.36508155
Simon-0711_ta_lyrics_sentiment_classification,Simon-0711_ta_lyrics_sentiment_classification.png,Simon-0711_ta_lyrics_sentiment_classification.png,0.3366443
SimonLdj_hypnolog-server,SimonLdj_hypnolog-server.png,SimonLdj_hypnolog-server.png,0.14850122
SocialGouv_archifiltre-docs,SocialGouv_archifiltre-docs.png,SocialGouv_archifiltre-docs.png,0.3823151
Software-Engineering-DHBW_bikeminer,Software-Engineering-DHBW_bikeminer.png,Software-Engineering-DHBW_bikeminer.png,0.22999346
Speccy-Rom_SpeccyTV,Speccy-Rom_SpeccyTV.png,Speccy-Rom_SpeccyTV.png,0.1790818
SpektraSystems_CloudLabs-Azure,SpektraSystems_CloudLabs-Azure.jpg,SpektraSystems_CloudLabs-Azure.png,0.37439322
Spiderpig86_SmoresUnderflow,Spiderpig86_SmoresUnderflow.png,Spiderpig86_SmoresUnderflow.png,0.40775585
Taymindis_fcgi-function,Taymindis_fcgi-function.png,Taymindis_fcgi-function.png,0.3141687
TestHaters_ctflow,TestHaters_ctflow.png,TestHaters_ctflow.png,0.2928791
UBC-CIC_Student-Connect-App,UBC-CIC_Student-Connect-App.png,UBC-CIC_Student-Connect-App.png,0.32131124
UnoSD_UnoCash,UnoSD_UnoCash.png,UnoSD_UnoCash.png,0.4207194
XenitAB_git-auth-proxy,XenitAB_git-auth-proxy.png,XenitAB_git-auth-proxy.png,0.29923213
Xsidelight_flutter_interview_questions,Xsidelight_flutter_interview_questions.png,Xsidelight_flutter_interview_questions.png,0.44377244
YW-Ma_Algorithms-Visualizer,YW-Ma_Algorithms-Visualizer.jpg,YW-Ma_Algorithms-Visualizer.png,0.370682
YashwantChauhan_SDL,YashwantChauhan_SDL.PNG,YashwantChauhan_SDL.png,0.50219536
ZID-Automat_Controller-ZIDAutomat,ZID-Automat_Controller-ZIDAutomat.png,ZID-Automat_Controller-ZIDAutomat.png,0.22593164
abel-gr_warehouse-robot,abel-gr_warehouse-robot.png,abel-gr_warehouse-robot.png,0.32597494
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws.jpg,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws.png,0.10396922
afonsocastro_larcc_interface,afonsocastro_larcc_interface.png,afonsocastro_larcc_interface.png,0.3141259
alanchn31_Movalytics-Data-Warehouse,alanchn31_Movalytics-Data-Warehouse.PNG,alanchn31_Movalytics-Data-Warehouse.png,0.4499327
alexandredev3_nodejs-clean-architeture,alexandredev3_nodejs-clean-architeture.jpg,alexandredev3_nodejs-clean-architeture.png,0.16737205
alextanhongpin_node-rest,alextanhongpin_node-rest.png,alextanhongpin_node-rest.png,0.15809351
alfredcs_immersion_day_labs,alfredcs_immersion_day_labs.png,alfredcs_immersion_day_labs.png,0.3689834
aliyun_packagist-mirror,aliyun_packagist-mirror.png,aliyun_packagist-mirror.png,0.21634632
allegroai_clearml-agent,allegroai_clearml-agent.png,allegroai_clearml-agent.png,0.31846178
andersonkmi_credit-card-bindb-service-aws,andersonkmi_credit-card-bindb-service-aws.jpg,andersonkmi_credit-card-bindb-service-aws.png,0.15081549
andrempmattos_harsh-payload,andrempmattos_harsh-payload.png,andrempmattos_harsh-payload.png,0.38250923
anjuchamantha_EMonitor,anjuchamantha_EMonitor.png,anjuchamantha_EMonitor.png,0.16321933
ankithans_codeX,ankithans_codeX.png,ankithans_codeX.png,0.3661359
annashres_CustomerBot,annashres_CustomerBot.jpg,annashres_CustomerBot.png,0.19815993
anvasquezre_sabiduria_asegurada_experiments,anvasquezre_sabiduria_asegurada_experiments.png,anvasquezre_sabiduria_asegurada_experiments.png,0.50094974
apache_apisix-dashboard,apache_apisix-dashboard.png,apache_apisix-dashboard.png,0.2178067
apigee_consumer-data-standards-au,apigee_consumer-data-standards-au.png,apigee_consumer-data-standards-au.png,0.20579433
argrecsys_argael,argrecsys_argael.png,argrecsys_argael.png,0.26461768
arkaneshiro_Sound-Zone,arkaneshiro_Sound-Zone.png,arkaneshiro_Sound-Zone.png,0.30445856
ashavijit_Face-Find,ashavijit_Face-Find.png,ashavijit_Face-Find.png,0.36802363
aurelien-m_raspberrypi-rustpy,aurelien-m_raspberrypi-rustpy.png,aurelien-m_raspberrypi-rustpy.png,0.30673254
